"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Exotic Portakal&Nar Suyu (330 ml)","Su & İçecek","Meyve Suyu","+4","40","7","₺7,50","1","Aktif"
"Gimdog Köpekler İçin Çubuk Çiğneme Kemiği (50 x 6 g)","Evcil Hayvan","Köpek","Oda Koşulları","720","0","₺49,90","","Aktif"
"Cricket Fusion Çakmak (2'li)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","0","₺11,95","","İnaktif"
"Wasp Hindistan Cevizli-Bitter Arı Polenli Meyve Barı (35 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺4,99","","Aktif"
"Knorr Kahvaltı için Baharatlı Çeşni (75 g)","Temel Gıda","Baharat","Oda Koşulları","720","0","₺14,95","","Aktif"
"Kotex Günlük Ped Normal Boy (56'lı)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","11","₺29,90","","Aktif"
"Lipton Ice Tea Şeftali (6 x 330 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","9","₺21,50","","Aktif"
"Pedigree Ranchos Sığır Etli Köpek Ödül Maması (70 g)","Evcil Hayvan","Köpek","Oda Koşulları","78","0","₺34,75","","Aktif"
"UNO Red Velvet Kurabiye (70 g)","Fırından","Taze Fırın","-18","120","0","₺3,95","","İnaktif"
"Dört Mevsim Muhabbet Kuşu Yemi (400 g)","Evcil Hayvan","Kuş","Oda Koşulları","720","8","₺11,25","","Aktif"
"Stepy Ekonomik Mini Boy Çöp Torbası Banyo (30'lu - 40 x 47 cm)","Ev Bakım","Mutfak","Oda Koşulları","","0","₺4,50","","Aktif"
"Mİ’CAO Pirinç Patlağı & Türk Kahveli El Yapımı Karamel Çikolata Tablet (70 g)","Atıştırmalık","Çikolata","Oda Koşulları","180","0","₺14,95","","Aktif"
"Aroma Kayısı Nektarı (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","0","₺5,95","","Aktif"
"Carte d'Or Kat Kat Çikolatalı Brownie (485 ml)","Dondurma","Kutu","-18","720","7","₺23,90","","Aktif"
"Penti Mat 20 Külotlu Hostes Çorabı Duman Nefti Renk 20 DEN (Beden: 3)","Giyim","Kadın Çorap","Oda Koşulları","","0","₺14,45","","Aktif"
"Pastırmalı Gül Böreği (85 g)","Fırından","Taze Fırın","-18","365","0","₺5,95","","Aktif"
"Paris Seyahati Çekiliş Hakkı","","","Oda Koşulları","","0","₺1,00","","İnaktif"
"Ecos3 Organik Elde Bulaşık Deterjanı (500 ml)","Ev Bakım","Bulaşık","Oda Koşulları","1080","0","₺34,50","","Aktif"
"Crema Cafe Kahve Kreması (75 g)","Su & İçecek","Kahve","+4","120","0","₺4,49","","İnaktif"
"Pepsi Max (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","17","₺3,45","","Aktif"
"Omo Toz Çamaşır Deterjanı Active 60 Yıkama (9 kg)","Ev Bakım","Çamaşır","Oda Koşulları","730","0","₺66,99","","Aktif"
"Hayat Kids Çocuklar için Su (300 ml)","Su & İçecek","Su","Oda Koşulları","540","0","₺1,50","","Aktif"
"Penti Mat 20 Pantolon Hostes Çorabı Duman Nefti (Beden: Standart)","Giyim","Kadın Çorap","Oda Koşulları","","0","₺6,90","","Aktif"
"Le Petit Marseillais Beyaz Şeftali & Nektarin Sıvı Sabun (500 ml)","Kişisel Bakım","Sabun","Oda Koşulları","","0","₺19,95","","Aktif"
"Cappy Destek Karışık Meyveli ve Sebzeli İçecek (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","180","0","₺7,45","","İnaktif"
"Nescafé Xpress Café Choco (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","400","0","₺8,75","","Aktif"
"Bahçıvan Süzme Peynir (500 g)","Süt & Kahvaltı","Peynir","+4","120","23","₺18,75","","Aktif"
"Yedigün (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","3","₺5,75","","Aktif"
"Algida Frigola (65 ml)","Dondurma","Çubuk","-18","720","27","₺3,00","","Aktif"
"StopEver Thermal Hot Pro Sıcak Terapi Kuşağı (Tekli)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","3","₺16,95","","Aktif"
"Lindt Excellence Ekstra Yumuşak Sütlü Çikolata (35 g)","Atıştırmalık","Çikolata","+18 maksimum","365","0","₺9,75","","İnaktif"
"Namet Hindi Salam 7/24 (60 g)","Süt & Kahvaltı","Şarküteri","+4","120","13","₺3,75","","Aktif"
"Bahçıvan Dilimli Light Beyaz Peynir (420 g)","Süt & Kahvaltı","Peynir","+4","150","0","₺28,95","","Aktif"
"Eker Çilekli Yoğurt (65 g)","Süt & Kahvaltı","Yoğurt","+4","32","0","₺3,25","","Aktif"
"Ace Ultra Çamaşır Suyu Köpük Banyo Spreyi Çiçek Kokulu (700 ml)","Ev Bakım","Temizlik","Oda Koşulları","180","0","₺20,90","","Aktif"
"Tropicana Bursa Şeftali Nektarı (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","12","₺5,95","","Aktif"
"Nestlé Salep (15 g)","Su & İçecek","Süt & Salep","Oda Koşulları","","0","₺1,25","","Aktif"
"GOO.N Premium Soft Külot Bez 6 Beden (13 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","0","₺23,90","","Aktif"
"Algida Parti Pastası (750 ml)","Dondurma","Kutu","-18","720","0","₺16,00","","Aktif"
"Bref DeLuxe Katı Tuvalet Bloğu Manolya (2'li)","Ev Bakım","Temizlik","Oda Koşulları","","19","₺23,50","","Aktif"
"Raya Organik Yeşil Mercimek (500 g)","Temel Gıda","Bakliyat","Oda Koşulları","720","6","₺10,90","","Aktif"
"Gourmet Garage Hindi Dolma - Bütün (Pişmiş 4 - 4,5 kg)","Et, Tavuk & Balık","Beyaz Et","+4","","0","₺379,00","","İnaktif"
"KULLANMA DEMİRBAŞ 22","","","","","0","","","İnaktif"
"Algida 600 Yatay Dolap","","","Oda Koşulları","","0","","","İnaktif"
"Aptamil Çocuk Devam Sütü (200 ml)","Bebek","Mama","Oda Koşulları","300","0","₺4,45","","İnaktif"
"Wasa Fibre Lifli Gevrek Ekmek (230 g)","Fit & Form","Kraker & Bisküvi","Oda Koşulları","240","3","₺21,35","","Aktif"
"Ayıklanmış Roka (70 g)","Meyve & Sebze","Sebze","+4","5","16","₺3,95","1","Aktif"
"Sek Pastörize Taze Cam Şişe %3 Yağlı Süt (1 L)","Süt & Kahvaltı","Süt","+4","9","38","₺11,95","","Aktif"
"Aptamil 4 Çocuk Devam Sütü (350 g)","Bebek","Mama","Oda Koşulları","540","8","₺85,90","","Aktif"
"Çerezza Aile Boy Cips (3 x 33 g)","Atıştırmalık","Cips","Oda Koşulları","120","12","₺4,99","","Aktif"
"Ace Ultra Yoğun Kıvamlı Çamaşır Suyu Dağ Tazeliği (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","180","0","₺9,49","","Aktif"
"Doygun Artizan Köy Ekmeği (500 g)","Fırından","Unlu Mamüller","Oda Koşulları","9","0","₺16,95","","İnaktif"
"Patos Baharatlı Cips (167 g)","Atıştırmalık","Cips","Oda Koşulları","180","18","₺8,39","","Aktif"
"Tire Süt Kooperatifi Cam Şişe Ayran (1 L)","Su & İçecek","Ayran & Kefir","+4","18","0","₺10,70","","Aktif"
"Roll Bant Yara Bandı (10'lu)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","1800","7","₺2,25","","Aktif"
"Haribo Fizz Mix (70 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","540","30","₺5,45","","Aktif"
"Avengers Captain America Kalkan","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺69,90","","İnaktif"
"Haribo Happy Cola (80 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","540","13","₺5,45","","Aktif"
"Taciroğlu Tulum Peyniri (250 g)","Süt & Kahvaltı","Peynir","+4","360","5","₺31,50","","Aktif"
"Green Life Öğütülmüş Tarçın (60 g)","Temel Gıda","Baharat","Oda Koşulları","730","5","₺7,65","","Aktif"
"Dr. Oetker Sıcak Çikolata Tadında (27 g)","Su & İçecek","Süt & Salep","Oda Koşulları","730","0","₺1,19","","İnaktif"
"Green Life Kuş Üzümü (35 g)","Temel Gıda","Baharat","Oda Koşulları","730","6","₺3,45","","Aktif"
"Green Life Kırmızı Pul Biber (70 g)","Temel Gıda","Baharat","Oda Koşulları","730","10","₺4,75","1","Aktif"
"SuperFresh Dana Izgara Köfte (320 g)","Yiyecek","Dondurulmuş","-18","365","7","₺51,90","","Aktif"
"Le Petit Marseillais Pamuk Sütü Sıvı Sabun (500 ml)","Kişisel Bakım","Sabun","Oda Koşulları","","12","₺21,90","","Aktif"
"Magnum Classic Çikolata Tablet (90 g)","Atıştırmalık","Çikolata","+18 maksimum","365","0","₺17,25","","İnaktif"
"Neutrogena Hydro Boost Makyaj Temizleme Mendili (25'li)","Kişisel Bakım","Kozmetik","Değerli Ürün","","7","₺44,90","","Aktif"
"Bee'o Polen (150 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","540","0","₺34,90","","Aktif"
"Twigy Kadın Terlik (40)","Giyim","Ev Giyim","Oda Koşulları","","3","₺59,90","","Aktif"
"Ülker Piko 5 Fındık & Kayısı Bar (20 g)","Fit & Form","Bar","Oda Koşulları","180","0","₺2,75","","Aktif"
"Orkide Ayçiçek Yağı (1 L)","Temel Gıda","Sıvı Yağ","Oda Koşulları","730","0","₺29,15","","Aktif"
"Pril Sıvı Bulaşık Deterjanı Limon (430 ml)","Ev Bakım","Bulaşık","Oda Koşulları","","0","₺5,25","","İnaktif"
"Uno Fırından Tam Buğday Ekmeği (450 g)","Fırından","Unlu Mamüller","Oda Koşulları","17","5","₺11,25","","Aktif"
"Nesfit Tam Tahıllı Çilekli Bar (23,5 g)","Fit & Form","Bar","Oda Koşulları","300","2","₺4,45","","Aktif"
"Nescafé Dolce Gusto Cappucino Kahve Kapsülü (16'lı)","Su & İçecek","Kahve","Değerli Ürün","270","0","₺49,95","","Aktif"
"Peyman Nutzz Bal Hardal Kızartılmış Yer Fıstığı (83 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","305","0","₺5,75","","Aktif"
"Signal White Now Detox Aktif Kömür Diş Macunu (75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","1080","22","₺44,90","","Aktif"
"Yardım Kolisi 2","","","","","0","","","İnaktif"
"Marmara Limon Çiçeği Kolonyası Klasik (400 ml)","Kişisel Bakım","Kolonya","Oda Koşulları","","0","₺16,95","","Aktif"
"Canped Mesane Pedi Büyük Boy (10'lu)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","0","₺22,90","","Aktif"
"Prima Bebek Bezi Premium Care 4 Beden (46 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","3","₺128,90","","Aktif"
"Dalin Bıcı Bıcı Bebek Şampuanı Kokulu Bebek Kolonyası (50 ml)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺3,95","","Aktif"
"Çağla (250 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺10,45","","Aktif"
"Protex Antibakteriyel Krem Sıvı Sabun (300 ml)","Kişisel Bakım","Sabun","Oda Koşulları","","18","₺15,65","","Aktif"
"Johnson's Baby Morning Dew Kolonya (200 ml)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺10,95","","Aktif"
"Magnum Mini Beyaz & Classic (6'lı)","Dondurma","Çoklu","-18","720","0","₺27,50","","Aktif"
"Marmara Barber No 4 Sprey Kolonya (250 ml)","Kişisel Bakım","Kolonya","Oda Koşulları","","0","₺14,95","","Aktif"
"Frootie Super Defence (105 ml)","Dondurma","Bar","-18","720","0","₺6,00","","Aktif"
"Pırasa (1 kg)","Meyve & Sebze","Sebze","+8-12","6","0","₺9,45","","Aktif"
"Şelale Besleyici Aseton (120 ml)","Kişisel Bakım","Kozmetik","Oda Koşulları","","3","₺11,95","1","Aktif"
"Filiz Fiyonk Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","730","24","₺4,75","","Aktif"
"Gourmet Garage Sade Kesme Galeta (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","90","1","₺15,95","","Aktif"
"Cook Çöp Torbası Battal Boy (7'li - 72 x 95 cm)","Ev Bakım","Mutfak","Oda Koşulları","","50","₺17,45","","Aktif"
"Mandıradan Erzincan Tereyağı (200 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","365","10","₺23,75","","Aktif"
"Mandıradan Tam Yağlı Olgunlaştırılmış Divle Obruk Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","365","0","₺62,95","","Aktif"
"Cornetto Classico Kaymak (125 ml)","Dondurma","Külah","-18","540","26","₺4,50","1","Aktif"
"Elidor Anında Onarıcı Bakım Şampuan (650 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","8","₺27,20","","Aktif"
"Wee Baby Meyve Süzgeci","Bebek","Biberon & Emzik","Oda Koşulları","","5","₺21,90","","Aktif"
"Nescafé Classic Metal Kutu (1 Adet)","Su & İçecek","Kahve","Oda Koşulları","","0","₺19,90","","İnaktif"
"Sleepy Natural Külot Bez XL 6 Beden (40 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","3","₺62,90","","Aktif"
"Scotch Brite Sil Süpür Islak Yer Bezi (30 Yaprak)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺41,90","","Aktif"
"Wasp Çilek, Kakao & Arı Polenli Meyve Barı (35 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺4,99","","Aktif"
"Knorr Tavuk Çeşnili Çabuk Noodle (66 g)","Yiyecek","Hazır Yemek","Oda Koşulları","270","0","₺3,25","","Aktif"
"Aptamil 2 Devam Sütü (200 ml)","Bebek","Mama","Oda Koşulları","300","0","₺4,45","","İnaktif"
"Algida Frootie (80 ml)","Dondurma","Çubuk","-18","720","0","₺3,00","","Aktif"
"UNO Fırından Tam Çavdarlı Ekmek (450 g)","Fırından","Unlu Mamüller","Oda Koşulları","18","0","₺11,25","","İnaktif"
"Elidor Esmer Parlaklık Şampuan (650 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺11,95","","Aktif"
"Eker Süzme Yoğurt (900 g)","Süt & Kahvaltı","Yoğurt","+4","32","14","₺22,45","","Aktif"
"Colgate Optic White Anında Beyazlık Beyazlatıcı Diş Macunu (75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","22","₺57,90","","Aktif"
"Aroma Sa-de Zencefil Limon Aromalı İçecek (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","0","₺6,95","","Aktif"
"Tat Domates Rendesi (685 g)","Temel Gıda","Salça & Sos","Oda Koşulları","1095","5","₺11,45","","Aktif"
"Bahçıvan Labne Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","120","17","₺10,75","","Aktif"
"Yumoş Doğal Özler Çamaşır Yumuşatıcı Yasemin & Aloe Vera 50 Yıkama (1200 ml)","Ev Bakım","Çamaşır","Oda Koşulları","540","0","₺32,50","","Aktif"
"Cif Sprey Doğanın Gücü Banyo (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","720","0","₺20,50","","Aktif"
"Evy Baby Bebek Bezi 4+ Beden Maxiplus Ekonomik Paket (26 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","3","₺26,95","","Aktif"
"Evy Baby Bebek Bezi 4 Beden Maxi Ekonomik Paket (30 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","3","₺26,95","","Aktif"
"El Açması Yufka (5 Adet)","Fırından","Unlu Mamüller","+4","12","7","₺14,95","","Aktif"
"Wasa Humuslu Sandviç (30 g)","Fit & Form","Kraker & Bisküvi","Oda Koşulları","240","0","₺6,25","","Aktif"
"Domestos Okyanus Esintisi Sıfır Klor Çamaşır Suyu (675 ml)","Ev Bakım","Temizlik","Oda Koşulları","365","0","₺10,95","","Aktif"
"Lipton Dökme Bergamot Aromalı Siyah Çay (100 g)","Su & İçecek","Çay","Oda Koşulları","720","0","₺6,50","","Aktif"
"Durex Naturals Pure Kayganlaştırıcı Jel (100 ml)","Cinsel Sağlık","Jel","Oda Koşulları","","4","₺59,90","","Aktif"
"Glade Aerosol Oryantal Oud Oda Kokusu (300 ml)","Ev Bakım","Oda Kokusu","Oda Koşulları","","0","₺14,95","","Aktif"
"Kellogg's Coco Pops Mısır Gevreği (450 g)","Süt & Kahvaltı","Kahvaltılık Gevrek","Oda Koşulları","365","18","₺14,95","2","Aktif"
"Şahin Vakumlu Dilim Kavurma (90 g)","Süt & Kahvaltı","Şarküteri","+4","180","Sayımda","₺28,90","","Aktif"
"Otacı Gül Kürü Dudak Nemlendirici Koruyucu (4,2 g)","Kişisel Bakım","Kozmetik","Oda Koşulları","","0","₺13,75","","Aktif"
"Cornetto UniCornetto (135 ml)","Dondurma","Külah","-18","540","9","₺5,00","","Aktif"
"Kiri Sürülebilir Tam Yağlı Taze Peynir (150 g)","Süt & Kahvaltı","Peynir","+4","180","12","₺15,35","","Aktif"
"Eker Sade Kefir (1 L)","Su & İçecek","Ayran & Kefir","+4","28","Sayımda","₺11,95","","Aktif"
"Pepsi Twist (4 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","6","₺12,65","","Aktif"
"KULLANMA DEMİRBAŞ 7","","","Oda Koşulları","","0","","","İnaktif"
"Nestlé Pure Life Barbie Su (330 ml)","Su & İçecek","Su","Oda Koşulları","365","0","₺2,50","","Aktif"
"Activia Shot Sade (80 ml)","Süt & Kahvaltı","Yoğurt","+4","30","19","₺3,75","","Aktif"
"Sek Çiftlik Kaymaksız Yoğurt (450 g)","Süt & Kahvaltı","Yoğurt","+4","24","0","₺6,75","","Aktif"
"Tropicana Malatya Kayısılı İçecek (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","7","₺5,95","","Aktif"
"Raya Organik Bebek Tarhanası (250 g)","Temel Gıda","Çorba","Oda Koşulları","720","0","₺16,90","","Aktif"
"GOO.N Premium Soft Bebek Bezi 3 Beden (40 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","5","₺37,90","","Aktif"
"ABC Çamaşır Suyu Bahar (1 kg)","Ev Bakım","Temizlik","Oda Koşulları","1080","0","₺3,75","","İnaktif"
"Pril Sıvı Bulaşık Deterjanı Ege Nanesi (653 ml)","Ev Bakım","Bulaşık","Oda Koşulları","","0","₺8,85","","Aktif"
"Gourmet Garage Hindi But (Pişmiş 1 - 1,25 kg)","Et, Tavuk & Balık","Beyaz Et","+4","","0","₺129,00","","İnaktif"
"Erikli Mineral Bi Dilim Limon (250 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","12","₺2,25","","İnaktif"
"Ecocold 3 Kapılı Dolap","","","","","0","","","İnaktif"
"Tat Tatlı Biber Salçası (550 g)","Temel Gıda","Salça & Sos","Oda Koşulları","1080","13","₺17,25","","Aktif"
"Steam Loot Box","Dondurma","Kutu","Oda Koşulları","","0","","","İnaktif"
"Yayla Napoliten Soslu Makarna (250 g)","Yiyecek","Hazır Yemek","Oda Koşulları","365","37","₺8,15","","Aktif"
"Simple Rahatlatıcı Kağıt Maske (1 Adet)","Kişisel Bakım","Kozmetik","Oda Koşulları","720","0","₺26,90","","İnaktif"
"Balparmak Apitera Zen (7 x 7 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","545","3","₺17,50","","Aktif"
"Gourmet Garage Ay Çekirdekli Kesme Galeta (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","60","8","₺16,95","","Aktif"
"Yeni Büyük Boy Geçmeli Torba 50x55","","","Oda Koşulları","","44476","₺0,25","","İnaktif"
"Tat Cevizli Ezme (200 g)","Temel Gıda","Salça & Sos","Oda Koşulları","540","10","₺13,95","","Aktif"
"Lipton Çiçek Ihlamur Zencefil Dökme Bitki Çayı (50 g)","Su & İçecek","Çay","Oda Koşulları","720","0","₺15,99","","Aktif"
"Cipso Tırtıklı Orijinal Cips (150 g)","Atıştırmalık","Cips","Oda Koşulları","180","12","₺8,39","","Aktif"
"Eker Efsane Çilekli Yoğurt (125 g)","Süt & Kahvaltı","Yoğurt","+4","32","0","₺2,95","","İnaktif"
"Knorr Bulgurlu Analı Kızlı Çorba (92 g)","Temel Gıda","Çorba","Oda Koşulları","450","0","₺6,55","","Aktif"
"Orkide Ayçiçek Yağı (2 L)","Temel Gıda","Sıvı Yağ","Oda Koşulları","730","0","₺49,95","","Aktif"
"Faber Castell Kuru Boya Seti (12 Renk)","Ev & Yaşam","Kırtasiye","Değerli Ürün","","0","₺19,95","","İnaktif"
"Hayat Mascot Su (330 ml)","Su & İçecek","Su","Oda Koşulları","540","0","₺1,95","","İnaktif"
"Urban Care Saç Bakım Serumu Pembe Greyfurt & Zencefil (75 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","1800","0","₺37,70","","İnaktif"
"Carte d'Or Selection Meyve Şöleni (850 ml)","Dondurma","Kutu","-18","720","6","₺23,90","","Aktif"
"Green Life Öğütülmüş Karabiber (35 g)","Temel Gıda","Baharat","Oda Koşulları","730","9","₺4,15","","Aktif"
"Ariel Toz Çamaşır Deterjanı Dağ Esintisi Renkliler İçin 33 Yıkama (5 kg)","Ev Bakım","Çamaşır","Oda Koşulları","","0","₺49,99","","Aktif"
"Pure Organic Orta Boy Organik Yumurta (10'lu)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","62","₺23,25","","Aktif"
"SuperFresh Dana Baba Burger (360 g)","Yiyecek","Dondurulmuş","-18","365","10","₺46,70","","Aktif"
"Kakaolu Kurabiye (65 g)","Fırından","Taze Fırın","-18","360","0","₺5,45","","Aktif"
"Marmarabirlik Sade Siyah Zeytin Ezmesi (175 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","720","15","₺6,85","","Aktif"
"Susamlı Çörekotlu Grissini (100 g)","Fırından","Unlu Mamüller","Oda Koşulları","75","0","₺9,45","","İnaktif"
"Apple Lightning - USB Kablosu (100 cm)","Teknoloji","Şarj Aleti & Kablo","Değerli Ürün","","3","₺205,00","","Aktif"
"Twigy Erkek Terlik (45/46)","Giyim","Ev Giyim","Oda Koşulları","","1","₺59,90","","Aktif"
"Algida Maraş Usulü Sade Dondurma (500 ml)","Dondurma","Kutu","-18","720","8","₺17,90","","Aktif"
"Powerade Ice Blast (500 ml)","Su & İçecek","Fonksiyonel İçecekler","Oda Koşulları","300","24","₺6,45","","Aktif"
"Uno Premium Çok Tahıllı Ekmek (350 g)","Fırından","Unlu Mamüller","Oda Koşulları","8","0","₺9,95","","Aktif"
"Jack & Jones Erkek Çorap (Beden: 40 - 46)","Giyim","Erkek Çorap","Değerli Ürün","","0","₺12,95","","Aktif"
"Dardanel Zeytinyağlı Poşet Somon (85 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","720","41","₺27,90","","Aktif"
"Kemal Kükrer Beyaz Sirke (2 L)","Temel Gıda","Sirke & Salata Sosu","+18 maksimum","1095","18","₺11,50","","Aktif"
"Nescafé 3'ü 1 Arada Ice (10'lu)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","0","₺7,00","","İnaktif"
"Erikli Su (1,5 L)","Su & İçecek","Su","Oda Koşulları","360","475","₺3,65","24","Aktif"
"Islak Kek (130 g)","Fırından","Unlu Mamüller","+4","14","7","₺14,95","","Aktif"
"Uno Kaşar Peynirli Poğaça (75 g)","Fırından","Taze Fırın","-18","365","0","₺3,25","","Aktif"
"Magnum Beyaz (100 ml)","Dondurma","Çubuk","-18","730","17","₺7,50","1","Aktif"
"Magnum Crack Beyaz (440 ml)","Dondurma","Kutu","-18","720","0","₺39,90","","İnaktif"
"Algida Maraş Usulü Sütü Bol Dondurma (500 ml)","Dondurma","Kutu","-18","730","3","₺19,50","","Aktif"
"Algida Maraş Usulü Dondurmalı İrmik Tatlısı (2 x 150 ml)","Dondurma","Kutu","-18","720","0","₺18,50","","Aktif"
"Kırmızı Elma (750 g)","Meyve & Sebze","Meyve","+8-12","7","9","₺6,45","","Aktif"
"Çengelköy Salatalık (500 g)","Meyve & Sebze","Sebze","+8-12","6","94","₺4,45","","Aktif"
"Altınkılıç Laktozsuz Kefir (1 L)","Su & İçecek","Ayran & Kefir","+4","35","Sayımda","₺10,95","","Aktif"
"Altınkılıç İzmir Tulum Peynir (300 g)","Süt & Kahvaltı","Peynir","+4","365","8","₺32,50","","Aktif"
"Polonez Dana Jambon (60 g)","Süt & Kahvaltı","Şarküteri","+4","120","30","₺11,45","","Aktif"
"Altınkılıç Sade Kefir (1 L)","Su & İçecek","Ayran & Kefir","+4","35","Sayımda","₺9,90","","Aktif"
"Activia Orman Meyveleri (4 x 100 g)","Süt & Kahvaltı","Yoğurt","+4","31","13","₺10,90","","Aktif"
"Ariste 1 Dilim Beyaz Peynir (50 g)","Süt & Kahvaltı","Peynir","+4","180","12","₺5,95","","Aktif"
"Cakes & Bakes Lezzet Arası Çiğ Köfte Porsiyon (180 g)","Yiyecek","Çiğ Köfte","+4","14","0","₺12,95","","İnaktif"
"Eker Sütlaç (150 g)","Yiyecek","Tatlı","+4","32","Sayımda","₺5,40","","Aktif"
"Polonez Dana Sosis (300 g)","Süt & Kahvaltı","Şarküteri","+4","120","10","₺29,90","","Aktif"
"Sek Çiftlik Kaymaksız Yoğurt (900 g)","Süt & Kahvaltı","Yoğurt","+4","30","19","₺13,25","","Aktif"
"Mozaik Pasta (575 g)","Fırından","Unlu Mamüller","+4","14","0","₺39,90","","Aktif"
"Sek Quark Çilek (140 g)","Süt & Kahvaltı","Peynir","+4","31","17","₺7,55","","Aktif"
"Becel Kase Margarin (250 g)","Süt & Kahvaltı","Tereyağ & Margarin","+4","120","0","₺8,50","","Aktif"
"Polonez Hindi Füme Et (60 g)","Süt & Kahvaltı","Şarküteri","+4","120","27","₺8,95","","Aktif"
"Sütaş Sarımsaklı Yoğurt (500 g)","Süt & Kahvaltı","Yoğurt","+4","33","6","₺12,45","","Aktif"
"Altınkılıç Sade Kefir (250 ml)","Su & İçecek","Ayran & Kefir","+4","35","7","₺5,45","","Aktif"
"Eker Efsane Yoğurt (350 g)","Süt & Kahvaltı","Yoğurt","+4","28","15","₺6,50","","Aktif"
"KULLANMA DEMİRBAŞ 9","","","Oda Koşulları","","0","₺0,25","","İnaktif"
"Depozitolu Poşet (Mor)","","","Oda Koşulları","","0","","","İnaktif"
"Persil Power Jel Sıvı Çamaşır Deterjanı Renkli 33 Yıkama (2145 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","20","₺36,99","","Aktif"
"Hero Baby İlikli Kemik Sulu Karışık Sebzeli Kavanoz Mama (120 g)","Bebek","Mama","Oda Koşulları","549","0","₺2,99","","Aktif"
"Omo Sıvı Çamaşır Deterjanı Renkliler 30 Yıkama (1950 ml)","Ev Bakım","Çamaşır","Oda Koşulları","720","19","₺52,49","","Aktif"
"Pattex Süper Japon Yapıştırıcı (3 g)","Ev & Yaşam","Kırtasiye","Oda Koşulları","1800","9","₺11,95","","Aktif"
"Selpak Cep Mendil (6'lı)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺6,95","","Aktif"
"Rainwalker Yarı Otomatik Şemsiye (Siyah)","Ev & Yaşam","Şemsiye","Oda Koşulları","","3","₺54,90","","Aktif"
"Varta Longlife Power Alkalin AAA İnce Kalem Pil (4'lü)","Ev & Yaşam","Pil","Oda Koşulları","","9","₺18,50","","Aktif"
"Fairy Platinum Bulaşık Makinesi Deterjanı Kapsülü (26'lı)","Ev Bakım","Bulaşık","Oda Koşulları","","0","₺44,90","","İnaktif"
"Duracell Alkalin D Büyük Boy Pil (2'li)","Ev & Yaşam","Pil","Değerli Ürün","","9","₺43,50","","Aktif"
